key	de-DE
K45::XTM.vuio[autoColorDisabled]	--Automatische Farbe deaktiviert--
K45::XTM.vuio[cancelBtn]	Stornieren
K45::XTM.vuio[cityPalettesLibrary.title]	Verfügbare Paletten
K45::XTM.vuio[lineMap.noDistrict]	<Bezirkslos>
K45::XTM.vuio[lineStationDetail.nextVehicleInformation]	Nächste Fahrzeuginformationen
K45::XTM.vuio[lineStationDetail.noNextVehicleData]	Die Linie hat keine Fahrzeuge!
K45::XTM.vuio[lineStationDetail.seeInverseStop]	Siehe Umkehrstopp
K45::XTM.vuio[lineStationDetail.selectBuilding]	Gebäude auswählen
K45::XTM.vuio[lineStationDetail.alreadyFirstStop]	Es ist bereits der erste Stopp!
K45::XTM.vuio[lineStationDetail.setAsFirstStop]	Als erste Haltestelle der Linie festlegen
K45::XTM.vuio[lineStationDetail.nextVehicleData]	Nächstes Fahrzeug:
K45::XTM.vuio[lineStationDetail.buildingLbl]	Hauptgebäude: {building}
K45::XTM.vuio[lineStationDetail.nextVehicleIncoming]	Eingehend!
K45::XTM.vuio[lineStationDetail.nextVehicleStopsRemaning]	{stops} Haltestellen
K45::XTM.vuio[lineViewer.colossalNationFmt]	Kolossale Nation: {city}
K45::XTM.vuio[lineViewer.dataAverageStopWaiting]	Durchschnittliche Haltestellenbelegung
K45::XTM.vuio[lineViewer.dataAverageVehicleOccupance]	Durchschnittliche Fahrzeugbelegung
K45::XTM.vuio[lineViewer.dataNextMaintenanceValueFmt]	Noch {distance}
K45::XTM.vuio[lineViewer.dataNextVehicleToBeMaintained]	Nächstes Fahrzeug, das zur Wartung ausgemustert wird
K45::XTM.vuio[lineViewer.dataNoNextMaintenance]	Es wird nicht erwartet, dass Fahrzeuge gewartet werden
K45::XTM.vuio[lineViewer.formatMinutes]	{minutes} Min.
K45::XTM.vuio[lineViewer.lineData]	Liniendaten
K45::XTM.vuio[lineViewer.maintenanceEach]	Wartungsbereich
K45::XTM.vuio[lineViewer.odometer]	Kilometerzähler
K45::XTM.vuio[lineViewer.showDistancesLbl]	Entfernungen zwischen Stationen anzeigen
K45::XTM.vuio[lineViewer.showDistrictsLbl]	Bezirksgrenzen anzeigen
K45::XTM.vuio[lineViewer.showHalfTripIfSimmetric]	Halbe Fahrt anzeigen, wenn die Linie simmetrisch ist (deaktiviert, wenn Fahrzeuge angezeigt werden)
K45::XTM.vuio[lineViewer.showIntegrationsLbl]	Linienintegrationen anzeigen
K45::XTM.vuio[lineViewer.showVehiclesLbl]	Fahrzeuge anzeigen
K45::XTM.vuio[lineViewer.stopData]	Stopp-Info
K45::XTM.vuio[lineViewer.useWhiteBackgroundLbl]	Anzeige auf weißem Hintergrund
K45::XTM.vuio[lineViewer.vehicleData]	Fahrzeuginformationen
K45::XTM.vuio[lineViewer.dataTotalPassengersWaiting]	Passagiere warten in allen Bahnhöfen
K45::XTM.vuio[lineViewer.dataTotalPassengersLoaded]	Passagiere in Fahrzeuge
K45::XTM.vuio[lineViewer.dataTotalCargoWaiting]	An Bahnhöfen gelagerte Fracht
