key	es-ES
K45::XTM.vuio[autoColorDisabled]	--Color automático desactivado--
K45::XTM.vuio[cancelBtn]	Cancelar
K45::XTM.vuio[cityPalettesLibrary.title]	Paletas disponibles
K45::XTM.vuio[lineMap.noDistrict]	<Sin distrito>
K45::XTM.vuio[lineStationDetail.nextVehicleInformation]	Información del próximo vehículo
K45::XTM.vuio[lineStationDetail.noNextVehicleData]	¡La línea no tiene vehículos!
K45::XTM.vuio[lineStationDetail.seeInverseStop]	Ver parada inversa
K45::XTM.vuio[lineStationDetail.selectBuilding]	Seleccionar edificio
K45::XTM.vuio[lineStationDetail.alreadyFirstStop]	¡Ya es la primera parada!
K45::XTM.vuio[lineStationDetail.setAsFirstStop]	Establecer como primera parada de la línea
K45::XTM.vuio[lineStationDetail.nextVehicleData]	Próximo vehículo:
K45::XTM.vuio[lineStationDetail.buildingLbl]	Edificio principal: {building}
K45::XTM.vuio[lineStationDetail.nextVehicleIncoming]	¡Entrante!
K45::XTM.vuio[lineStationDetail.nextVehicleStopsRemaning]	{stops} paradas
K45::XTM.vuio[lineViewer.colossalNationFmt]	Nación colosal: {city}
K45::XTM.vuio[lineViewer.dataAverageStopWaiting]	Ocupación media de paradas
K45::XTM.vuio[lineViewer.dataAverageVehicleOccupance]	Ocupación media de vehículos
K45::XTM.vuio[lineViewer.dataNextMaintenanceValueFmt]	{distance} para ir
K45::XTM.vuio[lineViewer.dataNextVehicleToBeMaintained]	El próximo vehículo será retirado para mantenimiento.
K45::XTM.vuio[lineViewer.dataNoNextMaintenance]	No se espera que se realicen mantenimiento a ningún vehículo.
K45::XTM.vuio[lineViewer.formatMinutes]	{minutes} min.
K45::XTM.vuio[lineViewer.lineData]	Datos de línea
K45::XTM.vuio[lineViewer.maintenanceEach]	Rango de mantenimiento
K45::XTM.vuio[lineViewer.odometer]	Cuentakilómetros
K45::XTM.vuio[lineViewer.showDistancesLbl]	Mostrar distancias entre estaciones
K45::XTM.vuio[lineViewer.showDistrictsLbl]	Mostrar los límites del distrito
K45::XTM.vuio[lineViewer.showHalfTripIfSimmetric]	Mostrar medio viaje si la línea es simétrica (deshabilitado si se muestran vehículos)
K45::XTM.vuio[lineViewer.showIntegrationsLbl]	Mostrar integraciones de línea
K45::XTM.vuio[lineViewer.showVehiclesLbl]	Mostrar vehículos
K45::XTM.vuio[lineViewer.stopData]	Parar información
K45::XTM.vuio[lineViewer.useWhiteBackgroundLbl]	Mostrar sobre fondo blanco
K45::XTM.vuio[lineViewer.vehicleData]	Información del vehículo
K45::XTM.vuio[lineViewer.dataTotalPassengersWaiting]	Pasajeros esperando en todas las estaciones.
K45::XTM.vuio[lineViewer.dataTotalPassengersLoaded]	Pasajeros en vehículos
K45::XTM.vuio[lineViewer.dataTotalCargoWaiting]	Carga almacenada en las estaciones.
K45::XTM.vuio[lineViewer.dataTotalCargoLoaded]	Carga cargada en vehículos
K45::XTM.vuio[lineViewer.dataLineFullLapAverageTime]	Tiempo estimado de ida y vuelta
K45::XTM.vuio[lineViewerEditor.lineFixedColor]	Color de línea fija
K45::XTM.vuio[loadBtn]	Carga
K45::XTM.vuio[paletteEditor.addColor]	agregar color
K45::XTM.vuio[paletteEditor.addNewPalette]	Agregar paleta
K45::XTM.vuio[paletteEditor.deletePalette]	Eliminar paleta
K45::XTM.vuio[paletteEditor.importPalette]	Importar paleta
K45::XTM.vuio[paletteEditor.noPalettes]	¡Sin paletas!
K45::XTM.vuio[paletteEditor.noPaletteSelected]	Ninguna paleta seleccionada
K45::XTM.vuio[paletteEditor.saveChanges]	Guardar cambios
K45::XTM.vuio[paletteEditor.renamePalette]	Cambiar nombre de paleta
K45::XTM.vuio[paletteEditor.addPalette.title]	Nueva paleta
K45::XTM.vuio[paletteEditor.addPalette.prompt]	Ingrese el nombre de la nueva paleta.
K45::XTM.vuio[paletteEditor.rename.title]	Cambiar nombre de paleta
K45::XTM.vuio[paletteEditor.rename.prompt]	Ingrese un nuevo nombre para la paleta
K45::XTM.vuio[paletteEditor.delete.title]	Eliminar paleta
K45::XTM.vuio[paletteEditor.delete.message]	¿Está seguro de que desea eliminar la paleta "{palette}"? Esta acción no se puede deshacer.
K45::XTM.vuio[paletteEditor.import.title]	Importar paleta
K45::XTM.vuio[paletteEditor.import.prompt]	Seleccione un archivo .hex para importar. El archivo tendrá un color RGB (#RRGGBB) por línea
K45::XTM.vuio[paletteEditor.import.libraryBookmark]	Biblioteca predeterminada
K45::XTM.vuio[paletteEditor.import.bookmarksTitle]	Valores predeterminados de XTM
K45::XTM.vuio[paletteEditor.shuffleColors]	Mezclar colores
K45::XTM.vuio[palettesSettings.cargoModalsTitle]	Modales de carga
K45::XTM.vuio[palettesSettings.modalSettings]	Modales de pasajeros
K45::XTM.vuio[palettesSettings.title]	Configuración de modal a paleta
K45::XTM.vuio[saveBtn]	Ahorrar
K45::XTM.vuio[seeXtmMap]	Ver mapa XTM
K45::XTM.vuio[weIntegrationBlinds.addKeyframe]	Agregar fotograma clave
K45::XTM.vuio[weIntegrationBlinds.addStep]	Agregar paso
K45::XTM.vuio[weIntegrationBlinds.cancel]	Cancelar
K45::XTM.vuio[weIntegrationBlinds.copyToClipboard]	Copiar al portapapeles
K45::XTM.vuio[weIntegrationBlinds.editStep]	Editar
K45::XTM.vuio[weIntegrationBlinds.fixedStringShort]	Texto fijo
K45::XTM.vuio[weIntegrationBlinds.framesLblShort]	Duración (cuadros)
K45::XTM.vuio[weIntegrationBlinds.framesNumberFmt]	mostrado durante {frames} frames
K45::XTM.vuio[weIntegrationBlinds.keyframesTitle]	Fotogramas clave
