key	fr-fr
K45::XTM.vuio[lineViewer.useWhiteBackgroundLbl]	Afficher sur fond blanc
K45::XTM.vuio[weIntegrationBlinds.staticKeyframeIdx]	Image clé à utiliser comme store statique
K45::XTM.vuio[fareGroups.exceptions.fare]	Tarif
K45::XTM.vuio[glossary.section.appearance.we.steps]	Étapes et arrêts de destination
K45::XTM.vuio[vehicleModelGroups.linkedLines]	Lignes de ce groupe
K45::XTM.vuio[fareGroups.fareTable.title]	Grille tarifaire
K45::XTM.vuio[glossary.section.start.overview.linesVsCargo]	Lignes de passagers et routes de fret
K45::XTM.vuio[vehicleModelGroups.delete.title]	Supprimer le groupe de modèles de véhicule
K45::XTM.vuio[lineStationDetail.seeInverseStop]	Voir arrêt inverse
K45::XTM.vuio[glossary.section.statistics.occupancy.cityReports]	Rapports de la ville
K45::XTM.vuio[glossary.category.groups.fareMembership]	Adhésion tarifaire
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltipCargo]	Capacité de chargement
K45::XTM.vuio[fareGroups.delete.tooltip]	Supprimer le groupe tarifaire
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityName]	Arrêt de destination de l'étape
K45::XTM.vuio[lineViewer.maintenanceEach]	Gamme d'entretien
K45::XTM.vuio[vehicleModelGroups.stat.len.unit]	ULÈNE
K45::XTM.vuio[occupancyReport.topLinesTitle]	Principales lignes par taux d'occupation du 30e centile
K45::XTM.vuio[glossary.tab.appearance]	Palettes et intégrations
K45::XTM.vuio[paletteEditor.rename.prompt]	Entrez un nouveau nom pour la palette
K45::XTM.vuio[paletteEditor.addPalette.prompt]	Entrez le nom de la nouvelle palette
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltip]	Capacité passagers
K45::XTM.vuio[vehicleModelGroups.listTitle]	Groupes
K45::XTM.vuio[glossary.index.placeholder.fares]	Tarifs et prix des billets
K45::XTM.vuio[occupancyReport.mode.occupancyPassengers]	Rapport d'occupation : passagers
K45::XTM.vuio[lineStationDetail.buildingLbl]	Bâtiment principal : {building}
K45::XTM.vuio[vehicleModelGroups.filterAssigned]	Lignes déjà affectées à un groupe
