key	en-US	pt-BR
K45::XTM.vuio[autoColorDisabled]	--Auto color disabled--	--Cor aut. desativada--
K45::XTM.vuio[cancelBtn]	Cancel	Cancelar
K45::XTM.vuio[cityPalettesLibrary.title]	Available palettes	Paletas disponíveis
K45::XTM.vuio[lineMap.noDistrict]	<Districtless>	<Sem distrito>
K45::XTM.vuio[lineStationDetail.nextVehicleInformation]	Next vehicle information	Informação sobre o próximo veículo a chegar
K45::XTM.vuio[lineStationDetail.noNextVehicleData]	The line have no vehicles!	A linha não tem veículos!
K45::XTM.vuio[lineStationDetail.seeInverseStop]	See inverse stop	Ver parada inversa
K45::XTM.vuio[lineStationDetail.selectBuilding]	Select building	Selecionar prédio
K45::XTM.vuio[lineStationDetail.alreadyFirstStop]	It's already first stop!	Já é a primeira parada!
K45::XTM.vuio[lineStationDetail.setAsFirstStop]	Set as line's first stop	Definir como a primeira parada da linha
K45::XTM.vuio[lineStationDetail.nextVehicleData]	Next Vehicle:	Próximo veículo:
K45::XTM.vuio[lineStationDetail.buildingLbl]	Main building: {building}	Prédio principal: {building}
K45::XTM.vuio[lineStationDetail.nextVehicleIncoming]	Incoming!	A caminho!
K45::XTM.vuio[lineStationDetail.nextVehicleStopsRemaning]	{stops} stops	{stops} paradas
K45::XTM.vuio[lineViewer.colossalNationFmt]	Colossal Nation: {city}	Nação Colossal: {city}
K45::XTM.vuio[lineViewer.dataAverageStopWaiting]	Average stops occupancy	Ocupação média das paradas
K45::XTM.vuio[lineViewer.dataAverageVehicleOccupance]	Average vehicle occupancy	Ocupação média dos veículos
K45::XTM.vuio[lineViewer.dataNextMaintenanceValueFmt]	{distance} to go	após rodar mais {distance}
K45::XTM.vuio[lineViewer.dataNextVehicleToBeMaintained]	Next vehicle to be retired for maintenance	Próximo veículo a ser recolhido para manutenção
K45::XTM.vuio[lineViewer.dataNoNextMaintenance]	No vehicles expected to be maintained	Nenhum veículo aguardado para manutenção
K45::XTM.vuio[lineViewer.formatMinutes]	{minutes} min.	{minutes} min.
K45::XTM.vuio[lineViewer.lineData]	Line data	Dados da linha
K45::XTM.vuio[lineViewer.maintenanceEach]	Maintenance range	Distância de manutenção
K45::XTM.vuio[lineViewer.odometer]	Odometer	Odômetro
K45::XTM.vuio[lineViewer.showDistancesLbl]	Show distances between stations	Mostrar distância entre estações
K45::XTM.vuio[lineViewer.showDistrictsLbl]	Show district borders	Mostrar limites entre distritos
K45::XTM.vuio[lineViewer.showHalfTripIfSimmetric]	Show half trip if line is simetric (disabled if vehicles are shown)	Mostrar meia viagem se a linha for simétrica (desabilitado se mostrando veículos)
K45::XTM.vuio[lineViewer.showIntegrationsLbl]	Show line integrations	Mostrar integrações com outras linhas
K45::XTM.vuio[lineViewer.showVehiclesLbl]	Show vehicles	Mostrar veículos
K45::XTM.vuio[lineViewer.stopData]	Stop Info	Info Parada
K45::XTM.vuio[lineViewer.useWhiteBackgroundLbl]	Display over white background	Usar fundo branco
K45::XTM.vuio[lineViewer.vehicleData]	Vehicle Info	Info Veículo
K45::XTM.vuio[lineViewer.dataTotalPassengersWaiting]	Passengers waiting in all stations	Passageiros aguardando em todas as estações
K45::XTM.vuio[lineViewer.dataTotalPassengersLoaded]	Passengers into vehicles	Passageiros em veículos
K45::XTM.vuio[lineViewer.dataTotalCargoWaiting]	Cargo stored at stations	Carga armazenada nas estações
K45::XTM.vuio[lineViewer.dataTotalCargoLoaded]	Cargo loaded into vehicles	Carga carregada nos veículos
K45::XTM.vuio[lineViewer.dataLineFullLapAverageTime]	Expected round trip time	Tempo esperado de viagem completa
K45::XTM.vuio[lineViewerEditor.displayIdentifier]	Route identifier (overrides route number when name is generated)	Identificador da rota (sobrescreve o número interno no nome gerado)
K45::XTM.vuio[lineViewerEditor.ignorePalette]	Use fixed color (ignore palette's settings for this line)	Usar cor fixa (ignorar configuração da paleta)
K45::XTM.vuio[lineViewerEditor.internalNumber]	Internal route number (used by palettes and naming)	Número interno da rota (paletas e nomeação)
K45::XTM.vuio[lineViewerEditor.lineFixedColor]	Fixed line color	Cor fixa
K45::XTM.vuio[loadBtn]	Load	Carregar
K45::XTM.vuio[paletteEditor.addColor]	Add color	Adicionar cor
K45::XTM.vuio[paletteEditor.addNewPalette]	Add palette	Adicionar paleta
K45::XTM.vuio[paletteEditor.deletePalette]	Delete palette	Apagar paleta
K45::XTM.vuio[paletteEditor.importPalette]	Import palette	Importar paleta
K45::XTM.vuio[paletteEditor.noPalettes]	No palettes!	Sem paletas!
K45::XTM.vuio[paletteEditor.noPaletteSelected]	No palette selected	Nenhuma paleta selecionada
K45::XTM.vuio[paletteEditor.saveChanges]	Save changes	Salvar alterações
K45::XTM.vuio[paletteEditor.renamePalette]	Rename palette	Renomear paleta
K45::XTM.vuio[paletteEditor.addPalette.title]	New Palette	Nova paleta
K45::XTM.vuio[paletteEditor.addPalette.prompt]	Enter the name for the new palette	Dê um nome para a nova paleta
K45::XTM.vuio[paletteEditor.rename.title]	Rename palette	Renomear paleta
K45::XTM.vuio[paletteEditor.rename.prompt]	Enter a new name for the palette	Dê um novo nome para a paleta
K45::XTM.vuio[paletteEditor.delete.title]	Delete palette	Apagar paleta
K45::XTM.vuio[paletteEditor.delete.message]	"Are you sure you want to delete the palette ""{palette}""? This action cannot be undone."	"Tem certeza que quer apagar a paleta ""{palette}""? Esta ação não pode ser desfeita."
K45::XTM.vuio[paletteEditor.import.title]	Import palette	Importar paleta
K45::XTM.vuio[paletteEditor.import.prompt]	Select a .hex file to import. The file shall have one RGB color (#RRGGBB) per line	Selecione um arquivo .hex para importar. O arquivo deve ter uma cor RGB (#RRGGBB) por linha.
K45::XTM.vuio[paletteEditor.import.libraryBookmark]	Default library	Biblioteca padrão
K45::XTM.vuio[paletteEditor.import.bookmarksTitle]	XTM Defaults	Padrões do XTM
K45::XTM.vuio[paletteEditor.shuffleColors]	Shuffle colors	Embaralhar cores
K45::XTM.vuio[palettesSettings.cargoModalsTitle]	Cargo modals	Modais de carga
K45::XTM.vuio[palettesSettings.modalSettings]	Passenger modals	Modais de passageiros
K45::XTM.vuio[palettesSettings.title]	Modal to palette settings	Associação Modal/Paletas
K45::XTM.vuio[saveBtn]	Save	Salvar
K45::XTM.vuio[seeXtmMap]	See XTM map	Ver mapa do XTM
K45::XTM.vuio[weIntegrationBlinds.addKeyframe]	Add keyframe	Adicionar quadro
K45::XTM.vuio[weIntegrationBlinds.addStep]	Add Step	Adicionar passo
