key	it-IT
K45::XTM.vuio[autoColorDisabled]	--Colore automatico disattivato--
K45::XTM.vuio[cancelBtn]	Cancellare
K45::XTM.vuio[cityPalettesLibrary.title]	Tavolozze disponibili
K45::XTM.vuio[lineMap.noDistrict]	<Senza distretto>
K45::XTM.vuio[lineStationDetail.nextVehicleInformation]	Informazioni sul veicolo successivo
K45::XTM.vuio[lineStationDetail.noNextVehicleData]	La linea non ha veicoli!
K45::XTM.vuio[lineStationDetail.seeInverseStop]	Vedi stop inverso
K45::XTM.vuio[lineStationDetail.selectBuilding]	Seleziona edificio
K45::XTM.vuio[lineStationDetail.alreadyFirstStop]	È già la prima tappa!
K45::XTM.vuio[lineStationDetail.setAsFirstStop]	Imposta come prima fermata della linea
K45::XTM.vuio[lineStationDetail.nextVehicleData]	Veicolo successivo:
K45::XTM.vuio[lineStationDetail.buildingLbl]	Edificio principale: {building}
K45::XTM.vuio[lineStationDetail.nextVehicleIncoming]	In arrivo!
K45::XTM.vuio[lineStationDetail.nextVehicleStopsRemaning]	{stops} fermate
K45::XTM.vuio[lineViewer.colossalNationFmt]	Nazione colossale: {city}
K45::XTM.vuio[lineViewer.dataAverageStopWaiting]	La media interrompe l'occupazione
K45::XTM.vuio[lineViewer.dataAverageVehicleOccupance]	Occupazione media del veicolo
K45::XTM.vuio[lineViewer.dataNextMaintenanceValueFmt]	{distance} da percorrere
K45::XTM.vuio[lineViewer.dataNextVehicleToBeMaintained]	Il prossimo veicolo sarà ritirato per manutenzione
K45::XTM.vuio[lineViewer.dataNoNextMaintenance]	Non è prevista la manutenzione dei veicoli
K45::XTM.vuio[lineViewer.formatMinutes]	{minutes} min.
K45::XTM.vuio[lineViewer.lineData]	Dati di linea
K45::XTM.vuio[lineViewer.maintenanceEach]	Intervallo di manutenzione
K45::XTM.vuio[lineViewer.odometer]	Odometro
K45::XTM.vuio[lineViewer.showDistancesLbl]	Mostra le distanze tra le stazioni
K45::XTM.vuio[lineViewer.showDistrictsLbl]	Mostra i confini del distretto
K45::XTM.vuio[lineViewer.showHalfTripIfSimmetric]	Mostra metà viaggio se la linea è simmetrica (disabilitato se vengono visualizzati i veicoli)
K45::XTM.vuio[lineViewer.showIntegrationsLbl]	Mostra integrazioni di linea
K45::XTM.vuio[lineViewer.showVehiclesLbl]	Mostra veicoli
K45::XTM.vuio[lineViewer.stopData]	Interrompi informazioni
K45::XTM.vuio[lineViewer.useWhiteBackgroundLbl]	Visualizza su sfondo bianco
K45::XTM.vuio[lineViewer.vehicleData]	Informazioni sul veicolo
K45::XTM.vuio[lineViewer.dataTotalPassengersWaiting]	Passeggeri in attesa in tutte le stazioni
K45::XTM.vuio[lineViewer.dataTotalPassengersLoaded]	Passeggeri nei veicoli
