key	ja-JP
K45::XTM.vuio[autoColorDisabled]	--オートカラー無効--
K45::XTM.vuio[cancelBtn]	キャンセル
K45::XTM.vuio[cityPalettesLibrary.title]	利用可能なパレット
K45::XTM.vuio[lineMap.noDistrict]	<無地区>
K45::XTM.vuio[lineStationDetail.nextVehicleInformation]	次期車両情報
K45::XTM.vuio[lineStationDetail.noNextVehicleData]	この路線には車両があ​​りません！
K45::XTM.vuio[lineStationDetail.seeInverseStop]	「逆停止」を参照
K45::XTM.vuio[lineStationDetail.selectBuilding]	建物を選択してください
K45::XTM.vuio[lineStationDetail.alreadyFirstStop]	もう最初の停車駅です！
K45::XTM.vuio[lineStationDetail.setAsFirstStop]	路線の最初の停車地として設定
K45::XTM.vuio[lineStationDetail.nextVehicleData]	次の車両:
K45::XTM.vuio[lineStationDetail.buildingLbl]	本館: {building}
K45::XTM.vuio[lineStationDetail.nextVehicleIncoming]	入ってきます！
K45::XTM.vuio[lineStationDetail.nextVehicleStopsRemaning]	{stops}停留所
K45::XTM.vuio[lineViewer.colossalNationFmt]	巨大な国家: {city}
K45::XTM.vuio[lineViewer.dataAverageStopWaiting]	平均停留所占有率
K45::XTM.vuio[lineViewer.dataAverageVehicleOccupance]	平均車両乗車率
K45::XTM.vuio[lineViewer.dataNextMaintenanceValueFmt]	目的地まで{distance}
K45::XTM.vuio[lineViewer.dataNextVehicleToBeMaintained]	次にメンテナンスのため引退する車両
K45::XTM.vuio[lineViewer.dataNoNextMaintenance]	メンテナンスの予定の車両はありません
K45::XTM.vuio[lineViewer.formatMinutes]	{minutes}分
K45::XTM.vuio[lineViewer.lineData]	ラインデータ
K45::XTM.vuio[lineViewer.maintenanceEach]	メンテナンス範囲
K45::XTM.vuio[lineViewer.odometer]	オドメーター
K45::XTM.vuio[lineViewer.showDistancesLbl]	駅間の距離を表示する
K45::XTM.vuio[lineViewer.showDistrictsLbl]	地区の境界線を表示する
K45::XTM.vuio[lineViewer.showHalfTripIfSimmetric]	ラインが等尺性の場合はハーフトリップを表示します (車両が表示されている場合は無効になります)
K45::XTM.vuio[lineViewer.showIntegrationsLbl]	ライン統合を表示
K45::XTM.vuio[lineViewer.showVehiclesLbl]	車両を展示する
K45::XTM.vuio[lineViewer.stopData]	停留所情報
K45::XTM.vuio[lineViewer.useWhiteBackgroundLbl]	白い背景の上に表示します
K45::XTM.vuio[lineViewer.vehicleData]	車両情報
K45::XTM.vuio[lineViewer.dataTotalPassengersWaiting]	すべての駅で待っている乗客
K45::XTM.vuio[lineViewer.dataTotalPassengersLoaded]	車両に乗り込む乗客
K45::XTM.vuio[lineViewer.dataTotalCargoWaiting]	駅に保管される貨物
K45::XTM.vuio[lineViewer.dataTotalCargoLoaded]	車両に積み込まれた荷物
K45::XTM.vuio[lineViewer.dataLineFullLapAverageTime]	往復の予想時間
K45::XTM.vuio[lineViewerEditor.lineFixedColor]	固定線の色
K45::XTM.vuio[loadBtn]	負荷
K45::XTM.vuio[paletteEditor.addColor]	色を追加する
K45::XTM.vuio[paletteEditor.addNewPalette]	パレットの追加
K45::XTM.vuio[paletteEditor.deletePalette]	パレットの削除
K45::XTM.vuio[paletteEditor.importPalette]	インポートパレット
K45::XTM.vuio[paletteEditor.noPalettes]	パレットがない！
K45::XTM.vuio[paletteEditor.noPaletteSelected]	パレットが選択されていません
K45::XTM.vuio[paletteEditor.saveChanges]	変更を保存する
K45::XTM.vuio[paletteEditor.renamePalette]	パレットの名前を変更
K45::XTM.vuio[paletteEditor.addPalette.title]	新しいパレット
K45::XTM.vuio[paletteEditor.addPalette.prompt]	新しいパレットの名前を入力します
K45::XTM.vuio[paletteEditor.rename.title]	パレットの名前を変更
K45::XTM.vuio[paletteEditor.rename.prompt]	パレットの新しい名前を入力します
K45::XTM.vuio[paletteEditor.delete.title]	パレットの削除
K45::XTM.vuio[paletteEditor.delete.message]	「パレット ""{palette}"" を削除してもよろしいですか? この操作は元に戻すことができません。」
K45::XTM.vuio[paletteEditor.import.title]	インポートパレット
