key	ko-KR
K45::XTM.vuio[autoColorDisabled]	--자동 색상 비활성화됨--
K45::XTM.vuio[cancelBtn]	취소
K45::XTM.vuio[cityPalettesLibrary.title]	사용 가능한 팔레트
K45::XTM.vuio[lineMap.noDistrict]	<구역 없음>
K45::XTM.vuio[lineStationDetail.nextVehicleInformation]	다음 차량 정보
K45::XTM.vuio[lineStationDetail.noNextVehicleData]	노선에 차량이 없습니다!
K45::XTM.vuio[lineStationDetail.seeInverseStop]	반대 방향 정류장 보기
K45::XTM.vuio[lineStationDetail.selectBuilding]	건물 선택
K45::XTM.vuio[lineStationDetail.alreadyFirstStop]	이미 첫 번째 정류장입니다!
K45::XTM.vuio[lineStationDetail.setAsFirstStop]	노선의 첫 번째 정류장으로 설정
K45::XTM.vuio[lineStationDetail.nextVehicleData]	다음 차량:
K45::XTM.vuio[lineStationDetail.buildingLbl]	주 건물: {building}
K45::XTM.vuio[lineStationDetail.nextVehicleIncoming]	진입 중!
K45::XTM.vuio[lineStationDetail.nextVehicleStopsRemaning]	{stops}개 정류장
K45::XTM.vuio[lineViewer.colossalNationFmt]	거대 국가: {city}
K45::XTM.vuio[lineViewer.dataAverageStopWaiting]	정류장 평균 점유율
K45::XTM.vuio[lineViewer.dataAverageVehicleOccupance]	차량 평균 점유율
K45::XTM.vuio[lineViewer.dataNextMaintenanceValueFmt]	도착까지 {distance}
K45::XTM.vuio[lineViewer.dataNextVehicleToBeMaintained]	정비를 위해 회고될 다음 차량
K45::XTM.vuio[lineViewer.dataNoNextMaintenance]	정비 예정 차량 없음
K45::XTM.vuio[lineViewer.formatMinutes]	{minutes}분
K45::XTM.vuio[lineViewer.lineData]	노선 데이터
K45::XTM.vuio[lineViewer.maintenanceEach]	정비 범위
K45::XTM.vuio[lineViewer.odometer]	주행 거리계
K45::XTM.vuio[lineViewer.showDistancesLbl]	역 간 거리 표시
K45::XTM.vuio[lineViewer.showDistrictsLbl]	구역 경계 표시
K45::XTM.vuio[lineViewer.showHalfTripIfSimmetric]	노선이 대칭일 경우 절반만 표시 (차량 표시 시 비활성화)
K45::XTM.vuio[lineViewer.showIntegrationsLbl]	노선 연계 표시
K45::XTM.vuio[lineViewer.showVehiclesLbl]	차량 표시
K45::XTM.vuio[lineViewer.stopData]	정류장 정보
K45::XTM.vuio[lineViewer.useWhiteBackgroundLbl]	흰색 배경 위에 표시
K45::XTM.vuio[lineViewer.vehicleData]	차량 정보
K45::XTM.vuio[lineViewer.dataTotalPassengersWaiting]	모든 역의 대기 승객
K45::XTM.vuio[lineViewer.dataTotalPassengersLoaded]	차량 내 승객
K45::XTM.vuio[lineViewer.dataTotalCargoWaiting]	정류장 보관 화물
K45::XTM.vuio[lineViewer.dataTotalCargoLoaded]	차량 적재 화물
K45::XTM.vuio[lineViewer.dataLineFullLapAverageTime]	예상 왕복 시간
K45::XTM.vuio[lineViewerEditor.lineFixedColor]	고정 노선 색상
K45::XTM.vuio[loadBtn]	불러오기
K45::XTM.vuio[paletteEditor.addColor]	색상 추가
K45::XTM.vuio[paletteEditor.addNewPalette]	팔레트 추가
K45::XTM.vuio[paletteEditor.deletePalette]	팔레트 삭제
K45::XTM.vuio[paletteEditor.importPalette]	팔레트 가져오기
K45::XTM.vuio[paletteEditor.noPalettes]	팔레트 없음!
K45::XTM.vuio[paletteEditor.noPaletteSelected]	선택된 팔레트 없음
K45::XTM.vuio[paletteEditor.saveChanges]	변경 사항 저장
K45::XTM.vuio[paletteEditor.renamePalette]	팔레트 이름 바꾸기
K45::XTM.vuio[paletteEditor.addPalette.title]	새 팔레트
K45::XTM.vuio[paletteEditor.addPalette.prompt]	새 팔레트의 이름을 입력하세요
K45::XTM.vuio[paletteEditor.rename.title]	팔레트 이름 바꾸기
K45::XTM.vuio[paletteEditor.rename.prompt]	팔레트의 새 이름을 입력하세요
K45::XTM.vuio[paletteEditor.delete.title]	팔레트 삭제
K45::XTM.vuio[paletteEditor.delete.message]	정말로 "{palette}" 팔레트를 삭제하시겠습니까? 이 작업은 되돌릴 수 없습니다.
K45::XTM.vuio[paletteEditor.import.title]	팔레트 가져오기
K45::XTM.vuio[paletteEditor.import.prompt]	가져올 .hex 파일을 선택하세요. 파일은 한 줄당 하나의 RGB 색상(#RRGGBB)을 포함해야 합니다.
K45::XTM.vuio[paletteEditor.import.libraryBookmark]	기본 라이브러리
K45::XTM.vuio[paletteEditor.import.bookmarksTitle]	XTM 기본값
K45::XTM.vuio[paletteEditor.shuffleColors]	색상 섞기
K45::XTM.vuio[palettesSettings.cargoModalsTitle]	화물 팝업 창
K45::XTM.vuio[palettesSettings.modalSettings]	승객 팝업 창
K45::XTM.vuio[palettesSettings.title]	팝업 창을 팔레트 설정으로
K45::XTM.vuio[saveBtn]	저장
K45::XTM.vuio[seeXtmMap]	XTM 지도 보기
K45::XTM.vuio[weIntegrationBlinds.addKeyframe]	키프레임 추가
K45::XTM.vuio[weIntegrationBlinds.addStep]	단계 추가
K45::XTM.vuio[weIntegrationBlinds.cancel]	취소
K45::XTM.vuio[weIntegrationBlinds.copyToClipboard]	클립보드에 복사
K45::XTM.vuio[weIntegrationBlinds.editStep]	편집
K45::XTM.vuio[weIntegrationBlinds.fixedStringShort]	고정 텍스트
K45::XTM.vuio[weIntegrationBlinds.framesLblShort]	지속 시간 (프레임)
K45::XTM.vuio[weIntegrationBlinds.framesNumberFmt]	{frames} 프레임 동안 표시됨
K45::XTM.vuio[weIntegrationBlinds.keyframesTitle]	키프레임
K45::XTM.vuio[weIntegrationBlinds.pasteFromClipboard]	모두 삭제 후 클립보드에서 붙여넣기
K45::XTM.vuio[weIntegrationBlinds.prefixShort]	접두사
K45::XTM.vuio[weIntegrationBlinds.removeStep]	제거
K45::XTM.vuio[weIntegrationBlinds.sampleFormat]	정적 샘플: "{sampleValue}" ({sampleType}) - 총 키프레임: {keyframeCount}
K45::XTM.vuio[weIntegrationBlinds.saveStep]	단계 저장
K45::XTM.vuio[weIntegrationBlinds.staticKeyframeIdx]	정적 블라인드로 사용할 키프레임
K45::XTM.vuio[weIntegrationBlinds.suffixShort]	접두사
K45::XTM.vuio[weIntegrationBlinds.theEndOfLine]	<종점>
K45::XTM.vuio[weIntegrationBlinds.title]	Write Everywhere - 커스텀 블라인드
K45::XTM.vuio[weIntegrationBlinds.useUntilStop]	정류장까지 사용
K45::XTM.vuio[weIntegrationBlinds.deleteStep]	단계 삭제
K45::XTM.vuio[weIntegrationBlinds.moveDown]	아래로 이동
K45::XTM.vuio[weIntegrationBlinds.moveUp]	위로 이동
K45::XTM.vuio[weIntegrationBlinds.resetDefaults]	기본값으로 초기화
K45::XTM.vuio[weIntegrationBlinds.useUntil]	{stationName}까지 사용
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityName]	해당 단계의 목적지 정류장
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityNameOrDistrict]	목적지 정류장, 구역 또는 도로
K45::XTM.vuio[weIntegrationBlinds.keyframeType.FixedString]	정적 텍스트
K45::XTM.vuio[weIntegrationBlinds.keyframeType.NextStopSimple]	다음 정류장
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteName]	노선 이름
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteNumber]	노선 번호
K45::XTM.vuio[lineStationDetail.waiting.cargo]	대기 중인 화물량: {quantity}
K45::XTM.vuio[lineStationDetail.waiting.passengers]	대기 중인 승객 수: {quantity}
::TUI	UI
::GLineListing	노선 목록
::LUseXtmLineListingDefault	기본적으로 XTM 노선 목록 사용
::DUseXtmLineListingDefault	활성화하면 교통 개요가 XTM 카드 목록으로 열립니다. 비활성화하면 기본 표로 열립니다. 헤더의 전환 버튼으로 현재 세션의 스타일을 여전히 바꿀 수 있습니다.
K45::XTM.vuio[lineList.toggleXtmListing]	XTM 노선 목록
K45::XTM.vuio[lineList.showAll]	모두 표시
K45::XTM.vuio[lineList.hideAll]	모두 숨기기
K45::XTM.vuio[lineList.passengerLines]	승객 노선
K45::XTM.vuio[lineList.cargoRoutes]	화물 노선
K45::XTM.vuio[lineList.linesCurrentFilterFormat]	{LINECOUNT}개 노선
K45::XTM.vuio[lineList.title]	노선
K45::XTM.vuio[lineList.filterDisabled]	비활성화
K45::XTM.vuio[lineList.filterDayNight]	주간 및 야간
K45::XTM.vuio[lineList.filterDay]	주간만
K45::XTM.vuio[lineList.filterNight]	야간만
K45::XTM.vuio[lineList.lineDisabled]	노선 비활성화됨
K45::XTM.vuio[lineList.sort.title]	노선 정렬
K45::XTM.vuio[lineList.sort.routeNumber]	노선 번호
K45::XTM.vuio[lineList.sort.acronym]	노선 약어
K45::XTM.vuio[lineList.sort.length]	노선 길이
K45::XTM.vuio[lineList.sort.usage]	노선 이용률 (%)
K45::XTM.vuio[lineList.sort.cargo]	월간 승객/화물
K45::XTM.vuio[lineList.sort.schedule]	운행 일정 상태
K45::XTM.vuio[lineList.openDetails]	상세 정보
K45::XTM.vuio[lineList.editColor]	노선 색상 변경
K45::XTM.vuio[lineList.restorePalette]	팔레트 색상 복원
K45::XTM.vuio[lineList.editIdentity]	노선 약어 / 번호 편집
K45::XTM.vuio[lineList.edit.acronym]	노선 약어
