key	ru-RU
K45::XTM.vuio[autoColorDisabled]	--Автоматический цвет отключен--
K45::XTM.vuio[cancelBtn]	Отмена
K45::XTM.vuio[cityPalettesLibrary.title]	Доступные палитры
K45::XTM.vuio[lineMap.noDistrict]	<Без округа>
K45::XTM.vuio[lineStationDetail.nextVehicleInformation]	Информация о следующем автомобиле
K45::XTM.vuio[lineStationDetail.noNextVehicleData]	В очереди нет транспортных средств!
K45::XTM.vuio[lineStationDetail.seeInverseStop]	См. инверсный стоп.
K45::XTM.vuio[lineStationDetail.selectBuilding]	Выберите здание
K45::XTM.vuio[lineStationDetail.alreadyFirstStop]	Это уже первая остановка!
K45::XTM.vuio[lineStationDetail.setAsFirstStop]	Установить как первую остановку линии
K45::XTM.vuio[lineStationDetail.nextVehicleData]	Следующий автомобиль:
K45::XTM.vuio[lineStationDetail.buildingLbl]	Главное здание: {building}
K45::XTM.vuio[lineStationDetail.nextVehicleIncoming]	Прибытие!
K45::XTM.vuio[lineStationDetail.nextVehicleStopsRemaning]	{stops} остановок
K45::XTM.vuio[lineViewer.colossalNationFmt]	Колоссальная нация: {city}
K45::XTM.vuio[lineViewer.dataAverageStopWaiting]	Средняя заполняемость остановок
K45::XTM.vuio[lineViewer.dataAverageVehicleOccupance]	Средняя заполняемость автомобиля
K45::XTM.vuio[lineViewer.dataNextMaintenanceValueFmt]	{distance} осталось идти
K45::XTM.vuio[lineViewer.dataNextVehicleToBeMaintained]	Следующий автомобиль будет отправлен на ремонт
K45::XTM.vuio[lineViewer.dataNoNextMaintenance]	Ожидается, что никаких транспортных средств не будет обслуживаться
K45::XTM.vuio[lineViewer.formatMinutes]	{minutes} мин.
K45::XTM.vuio[lineViewer.lineData]	Линейные данные
K45::XTM.vuio[lineViewer.maintenanceEach]	Диапазон технического обслуживания
K45::XTM.vuio[lineViewer.odometer]	Одометр
K45::XTM.vuio[lineViewer.showDistancesLbl]	Показать расстояния между станциями
K45::XTM.vuio[lineViewer.showDistrictsLbl]	Показать границы округов
K45::XTM.vuio[lineViewer.showHalfTripIfSimmetric]	Показывать половину поездки, если линия симметричная (отключено, если показаны транспортные средства)
K45::XTM.vuio[lineViewer.showIntegrationsLbl]	Показать интеграцию линий
K45::XTM.vuio[lineViewer.showVehiclesLbl]	Показать автомобили
K45::XTM.vuio[lineViewer.stopData]	Информация об остановке
K45::XTM.vuio[lineViewer.useWhiteBackgroundLbl]	Отображение на белом фоне
K45::XTM.vuio[lineViewer.vehicleData]	Информация об автомобиле
K45::XTM.vuio[lineViewer.dataTotalPassengersWaiting]	Пассажиры ждут на всех станциях
K45::XTM.vuio[lineViewer.dataTotalPassengersLoaded]	Пассажиры в транспортные средства
K45::XTM.vuio[lineViewer.dataTotalCargoWaiting]	Грузы, хранящиеся на станциях
K45::XTM.vuio[lineViewer.dataTotalCargoLoaded]	Груз погружен в транспортные средства
K45::XTM.vuio[lineViewer.dataLineFullLapAverageTime]	Ожидаемое время в пути туда и обратно
K45::XTM.vuio[lineViewerEditor.lineFixedColor]	Фиксированный цвет линии
K45::XTM.vuio[loadBtn]	Нагрузка
K45::XTM.vuio[paletteEditor.addColor]	Добавить цвет
K45::XTM.vuio[paletteEditor.addNewPalette]	Добавить палитру
K45::XTM.vuio[paletteEditor.deletePalette]	Удалить палитру
K45::XTM.vuio[paletteEditor.importPalette]	Импортировать палитру
K45::XTM.vuio[paletteEditor.noPalettes]	Никаких палитр!
K45::XTM.vuio[paletteEditor.noPaletteSelected]	Палитра не выбрана
K45::XTM.vuio[paletteEditor.saveChanges]	Сохранить изменения
K45::XTM.vuio[paletteEditor.renamePalette]	Переименовать палитру
K45::XTM.vuio[paletteEditor.addPalette.title]	Новая палитра
K45::XTM.vuio[paletteEditor.addPalette.prompt]	Введите имя новой палитры
K45::XTM.vuio[paletteEditor.rename.title]	Переименовать палитру
K45::XTM.vuio[paletteEditor.rename.prompt]	Введите новое имя для палитры
K45::XTM.vuio[paletteEditor.delete.title]	Удалить палитру
K45::XTM.vuio[paletteEditor.delete.message]	Вы уверены, что хотите удалить палитру "{palette}"? Это действие невозможно отменить.
K45::XTM.vuio[paletteEditor.import.title]	Импортировать палитру
K45::XTM.vuio[paletteEditor.import.prompt]	Выберите файл .hex для импорта. В файле должен быть один цвет RGB (#RRGGBB) на строку.
K45::XTM.vuio[paletteEditor.import.libraryBookmark]	Библиотека по умолчанию
K45::XTM.vuio[paletteEditor.import.bookmarksTitle]	Настройки XTM по умолчанию
K45::XTM.vuio[paletteEditor.shuffleColors]	Перемешать цвета
K45::XTM.vuio[palettesSettings.cargoModalsTitle]	Грузовые модалы
K45::XTM.vuio[palettesSettings.modalSettings]	Пассажирские модалы
K45::XTM.vuio[palettesSettings.title]	Модальное окно настроек палитры
K45::XTM.vuio[saveBtn]	Сохранять
K45::XTM.vuio[seeXtmMap]	Посмотреть карту XTM
K45::XTM.vuio[weIntegrationBlinds.addKeyframe]	Добавить ключевой кадр
K45::XTM.vuio[weIntegrationBlinds.addStep]	Добавить шаг
K45::XTM.vuio[weIntegrationBlinds.cancel]	Отмена
K45::XTM.vuio[weIntegrationBlinds.copyToClipboard]	Скопировать в буфер обмена
K45::XTM.vuio[weIntegrationBlinds.editStep]	Редактировать
K45::XTM.vuio[weIntegrationBlinds.fixedStringShort]	Фиксированный текст
K45::XTM.vuio[weIntegrationBlinds.framesLblShort]	Продолжительность (кадры)
K45::XTM.vuio[weIntegrationBlinds.framesNumberFmt]	показано в течение {frames} кадров
K45::XTM.vuio[weIntegrationBlinds.keyframesTitle]	Ключевые кадры
K45::XTM.vuio[weIntegrationBlinds.pasteFromClipboard]	Удалить все и вставить из буфера обмена
K45::XTM.vuio[weIntegrationBlinds.prefixShort]	Префикс
K45::XTM.vuio[weIntegrationBlinds.removeStep]	Удалять
K45::XTM.vuio[weIntegrationBlinds.sampleFormat]	Статический образец: "{sampleValue}" ({sampleType}) – общее количество ключевых кадров: {keyframeCount}
