key	zh-HANS
K45::XTM.vuio[autoColorDisabled]	--自动颜色禁用--
K45::XTM.vuio[cancelBtn]	取消
K45::XTM.vuio[cityPalettesLibrary.title]	可用调色板
K45::XTM.vuio[lineMap.noDistrict]	<无区>
K45::XTM.vuio[lineStationDetail.nextVehicleInformation]	下一辆车信息
K45::XTM.vuio[lineStationDetail.noNextVehicleData]	线路无车辆！
K45::XTM.vuio[lineStationDetail.seeInverseStop]	参见反向停止
K45::XTM.vuio[lineStationDetail.selectBuilding]	选择建筑物
K45::XTM.vuio[lineStationDetail.alreadyFirstStop]	已经是第一站了！
K45::XTM.vuio[lineStationDetail.setAsFirstStop]	设置为线路的首站
K45::XTM.vuio[lineStationDetail.nextVehicleData]	下一辆车：
K45::XTM.vuio[lineStationDetail.buildingLbl]	主楼：{building}
K45::XTM.vuio[lineStationDetail.nextVehicleIncoming]	来袭！
K45::XTM.vuio[lineStationDetail.nextVehicleStopsRemaning]	{stops} 站
K45::XTM.vuio[lineViewer.colossalNationFmt]	大国：{city}
K45::XTM.vuio[lineViewer.dataAverageStopWaiting]	平均停靠站占用率
K45::XTM.vuio[lineViewer.dataAverageVehicleOccupance]	平均车辆占有率
K45::XTM.vuio[lineViewer.dataNextMaintenanceValueFmt]	还要走{distance}
K45::XTM.vuio[lineViewer.dataNextVehicleToBeMaintained]	下一辆车将退役进行维护
K45::XTM.vuio[lineViewer.dataNoNextMaintenance]	预计没有车辆需要维护
K45::XTM.vuio[lineViewer.formatMinutes]	{minutes} 分钟
K45::XTM.vuio[lineViewer.lineData]	线路数据
K45::XTM.vuio[lineViewer.maintenanceEach]	维修范围
K45::XTM.vuio[lineViewer.odometer]	里程表
K45::XTM.vuio[lineViewer.showDistancesLbl]	显示车站之间的距离
K45::XTM.vuio[lineViewer.showDistrictsLbl]	显示地区边界
K45::XTM.vuio[lineViewer.showHalfTripIfSimmetric]	如果线路是对称的，则显示半程（如果显示车辆则禁用）
K45::XTM.vuio[lineViewer.showIntegrationsLbl]	显示线路集成
K45::XTM.vuio[lineViewer.showVehiclesLbl]	展示车辆
K45::XTM.vuio[lineViewer.stopData]	停止信息
K45::XTM.vuio[lineViewer.useWhiteBackgroundLbl]	显示在白色背景上
K45::XTM.vuio[lineViewer.vehicleData]	车辆信息
K45::XTM.vuio[lineViewer.dataTotalPassengersWaiting]	各车站候车的乘客
K45::XTM.vuio[lineViewer.dataTotalPassengersLoaded]	乘客进入车辆
K45::XTM.vuio[lineViewer.dataTotalCargoWaiting]	车站存放的货物
K45::XTM.vuio[lineViewer.dataTotalCargoLoaded]	货物装载到车辆上
K45::XTM.vuio[lineViewer.dataLineFullLapAverageTime]	预计往返时间
K45::XTM.vuio[lineViewerEditor.lineFixedColor]	固定线条颜色
K45::XTM.vuio[loadBtn]	加载
K45::XTM.vuio[paletteEditor.addColor]	添加颜色
K45::XTM.vuio[paletteEditor.addNewPalette]	添加调色板
K45::XTM.vuio[paletteEditor.deletePalette]	删除调色板
K45::XTM.vuio[paletteEditor.importPalette]	导入调色板
K45::XTM.vuio[paletteEditor.noPalettes]	没有调色板！
K45::XTM.vuio[paletteEditor.noPaletteSelected]	未选择调色板
K45::XTM.vuio[paletteEditor.saveChanges]	保存更改
K45::XTM.vuio[paletteEditor.renamePalette]	重命名调色板
K45::XTM.vuio[paletteEditor.addPalette.title]	新调色板
K45::XTM.vuio[paletteEditor.addPalette.prompt]	输入新调色板的名称
K45::XTM.vuio[paletteEditor.rename.title]	重命名调色板
K45::XTM.vuio[paletteEditor.rename.prompt]	输入调色板的新名称
K45::XTM.vuio[paletteEditor.delete.title]	删除调色板
K45::XTM.vuio[paletteEditor.delete.message]	您确定要删除调色板"{palette}"吗？此操作无法撤消。
K45::XTM.vuio[paletteEditor.import.title]	导入调色板
K45::XTM.vuio[paletteEditor.import.prompt]	选择要导入的 .hex 文件。文件每行应有一种 RGB 颜色 (#RRGGBB)
K45::XTM.vuio[paletteEditor.import.libraryBookmark]	默认库
K45::XTM.vuio[paletteEditor.import.bookmarksTitle]	XTM 默认值
K45::XTM.vuio[paletteEditor.shuffleColors]	随机播放颜色
K45::XTM.vuio[palettesSettings.cargoModalsTitle]	货运模式
K45::XTM.vuio[palettesSettings.modalSettings]	客运模式
K45::XTM.vuio[palettesSettings.title]	模态到调色板设置
K45::XTM.vuio[saveBtn]	节省
K45::XTM.vuio[seeXtmMap]	查看 XTM 地图
K45::XTM.vuio[weIntegrationBlinds.addKeyframe]	添加关键帧
K45::XTM.vuio[weIntegrationBlinds.addStep]	添加步骤
K45::XTM.vuio[weIntegrationBlinds.cancel]	取消
K45::XTM.vuio[weIntegrationBlinds.copyToClipboard]	复制到剪贴板
K45::XTM.vuio[weIntegrationBlinds.editStep]	编辑
K45::XTM.vuio[weIntegrationBlinds.fixedStringShort]	固定文本
K45::XTM.vuio[weIntegrationBlinds.framesLblShort]	持续时间（帧）
K45::XTM.vuio[weIntegrationBlinds.framesNumberFmt]	在 {frames} 帧期间显示
K45::XTM.vuio[weIntegrationBlinds.keyframesTitle]	关键帧
K45::XTM.vuio[weIntegrationBlinds.pasteFromClipboard]	全部擦除并从剪贴板粘贴
K45::XTM.vuio[weIntegrationBlinds.prefixShort]	前缀
K45::XTM.vuio[weIntegrationBlinds.removeStep]	消除
K45::XTM.vuio[weIntegrationBlinds.sampleFormat]	静态示例："{sampleValue}"({sampleType}) - 关键帧总数：{keyframeCount}
K45::XTM.vuio[weIntegrationBlinds.saveStep]	保存步骤
K45::XTM.vuio[weIntegrationBlinds.staticKeyframeIdx]	用作静态盲区的关键帧
K45::XTM.vuio[weIntegrationBlinds.suffixShort]	后缀
K45::XTM.vuio[weIntegrationBlinds.theEndOfLine]	<行尾>
K45::XTM.vuio[weIntegrationBlinds.title]	随处书写 - 定制百叶窗
K45::XTM.vuio[weIntegrationBlinds.useUntilStop]	使用直至停止
K45::XTM.vuio[weIntegrationBlinds.deleteStep]	删除步骤
K45::XTM.vuio[weIntegrationBlinds.moveDown]	下移
K45::XTM.vuio[weIntegrationBlinds.moveUp]	向上移动
K45::XTM.vuio[weIntegrationBlinds.resetDefaults]	重置为默认值
K45::XTM.vuio[weIntegrationBlinds.useUntil]	使用直到：{stationName}
