key	zh-HANT
K45::XTM.vuio[autoColorDisabled]	--自動顏色停用--
K45::XTM.vuio[cancelBtn]	取消
K45::XTM.vuio[cityPalettesLibrary.title]	可用調色板
K45::XTM.vuio[lineMap.noDistrict]	<無區>
K45::XTM.vuio[lineStationDetail.nextVehicleInformation]	下一輛車資訊
K45::XTM.vuio[lineStationDetail.noNextVehicleData]	線路無車輛！
K45::XTM.vuio[lineStationDetail.selectBuilding]	選擇建築物
K45::XTM.vuio[lineStationDetail.alreadyFirstStop]	已經是第一站了！
K45::XTM.vuio[lineStationDetail.setAsFirstStop]	設定為線路的首站
K45::XTM.vuio[lineStationDetail.nextVehicleData]	下一輛車：
K45::XTM.vuio[lineStationDetail.buildingLbl]	主樓：{building}
K45::XTM.vuio[lineStationDetail.nextVehicleIncoming]	來襲！
K45::XTM.vuio[lineStationDetail.nextVehicleStopsRemaning]	{stops} 停止
K45::XTM.vuio[lineViewer.colossalNationFmt]	大國：{city}
K45::XTM.vuio[lineViewer.dataAverageStopWaiting]	平均停靠站佔用率
K45::XTM.vuio[lineViewer.dataNextVehicleToBeMaintained]	下一輛車將退役進行維護
K45::XTM.vuio[lineViewer.dataNoNextMaintenance]	預計沒有車輛需要維護
K45::XTM.vuio[lineViewer.formatMinutes]	{minutes} 分鐘
K45::XTM.vuio[lineViewer.lineData]	線路數據
K45::XTM.vuio[lineViewer.maintenanceEach]	維修範圍
K45::XTM.vuio[lineViewer.odometer]	里程表
K45::XTM.vuio[lineViewer.showHalfTripIfSimmetric]	如果線路是對稱的，則顯示半程（如果顯示車輛則停用）
K45::XTM.vuio[lineViewer.stopData]	停止訊息
K45::XTM.vuio[lineViewer.useWhiteBackgroundLbl]	顯示在白色背景上
K45::XTM.vuio[lineViewer.vehicleData]	車輛資訊
K45::XTM.vuio[lineViewer.dataTotalPassengersWaiting]	各車站候車的乘客
K45::XTM.vuio[lineViewer.dataTotalCargoWaiting]	車站存放的貨物
K45::XTM.vuio[lineViewer.dataTotalCargoLoaded]	貨物裝載到車輛上
K45::XTM.vuio[lineViewer.dataLineFullLapAverageTime]	預計往返時間
K45::XTM.vuio[lineViewerEditor.lineFixedColor]	固定線條顏色
K45::XTM.vuio[loadBtn]	載入
K45::XTM.vuio[paletteEditor.addColor]	添加顏色
K45::XTM.vuio[paletteEditor.addNewPalette]	添加調色板
K45::XTM.vuio[paletteEditor.deletePalette]	刪除調色板
K45::XTM.vuio[paletteEditor.importPalette]	導入調色板
K45::XTM.vuio[paletteEditor.noPalettes]	沒有調色盤！
K45::XTM.vuio[paletteEditor.noPaletteSelected]	未選擇調色板
K45::XTM.vuio[paletteEditor.saveChanges]	儲存變更
K45::XTM.vuio[paletteEditor.renamePalette]	重新命名調色板
K45::XTM.vuio[paletteEditor.addPalette.prompt]	輸入新調色板的名稱
K45::XTM.vuio[paletteEditor.rename.title]	重新命名調色板
K45::XTM.vuio[paletteEditor.rename.prompt]	輸入調色板的新名稱
K45::XTM.vuio[paletteEditor.delete.title]	刪除調色板
K45::XTM.vuio[paletteEditor.delete.message]	您確定要刪除調色板「{palette}」嗎？此操作無法撤銷。 
K45::XTM.vuio[paletteEditor.import.title]	導入調色板
